Year,State Name,Population
2017,California,39536653
2017,Colorado,5607154
2017,Connecticut,3588184
2017,Delaware,961939
2017,District of Columbia,693972
2017,Florida,20984400
2017,Georgia,10429379
2017,Hawaii,1427538
2017,Idaho,1716943
2017,Illinois,12802023
2017,Indiana,6666818
2017,Iowa,3145711
2017,Kansas,2913123
2017,Kentucky,4454189
2017,Louisiana,4684333
2017,Maine,1335907
2017,Maryland,6052177
2017,Massachusetts,6859819
2017,Michigan,9962311
2017,Minnesota,5576606
2017,Mississippi,2984100
2017,Missouri,6113532
2017,Montana,1050493
2017,Nebraska,1920076
2017,Nevada,2998039
2017,New Hampshire,1342795
2017,New Jersey,9005644
2017,New Mexico,2088070
2017,New York,19849399
2017,North Carolina,10273419
2017,North Dakota,755393
2017,Ohio,11658609
2017,Oklahoma,3930864
2017,Oregon,4142776
2017,Pennsylvania,12805537
2017,Rhode Island,1059639
2017,South Carolina,5024369
2017,South Dakota,869666
2017,Tennessee,6715984
2017,Texas,28304596
2017,Utah,3101833
2017,Vermont,623657
2017,Virginia,8470020
2017,Washington,7405743
2017,West Virginia,1815857
2017,Wisconsin,5795483
2017,Wyoming,579315
2017,Puerto Rico ,3004279
